game_id,game_date,home_team,away_team,spread_pick,total_pick,spread_edge,total_edge,parlay_edge_score,spread_home_last,total_last,moneyline_home_last,confidence_tier,cluster_alignment,disagreement_flag,actionability
0022500072,2025-11-28T00:00:00Z,Detroit Pistons,Orlando Magic,,,,,,,,,IGNORE,NONE,False,
0022500073,2025-11-28T00:00:00Z,Indiana Pacers,Washington Wizards,,,,,,,,,IGNORE,NONE,False,
0022500074,2025-11-28T00:00:00Z,New York Knicks,Milwaukee Bucks,,,,,,,,,IGNORE,NONE,False,
0022500075,2025-11-28T00:00:00Z,Oklahoma City Thunder,Phoenix Suns,,,,,,,,,IGNORE,NONE,False,
0022500076,2025-11-28T00:00:00Z,Denver Nuggets,San Antonio Spurs,,,,,,,,,IGNORE,NONE,False,
0022500077,2025-11-28T00:00:00Z,Utah Jazz,Sacramento Kings,,,,,,,,,IGNORE,NONE,False,
0022500078,2025-11-28T00:00:00Z,Los Angeles Lakers,Dallas Mavericks,,,,,,,,,IGNORE,NONE,False,
0022500079,2025-11-28T00:00:00Z,LA Clippers,Memphis Grizzlies,,,,,,,,,IGNORE,NONE,False,
0022500080,2025-10-22T00:00:00Z,Charlotte Hornets,Brooklyn Nets,,,,,,,,,IGNORE,NONE,False,
0022500081,2025-10-22T00:00:00Z,Orlando Magic,Miami Heat,,,,,,,,,IGNORE,NONE,False,
0022500082,2025-10-22T00:00:00Z,Atlanta Hawks,Toronto Raptors,,,,,,,,,IGNORE,NONE,False,
0022500083,2025-10-22T00:00:00Z,Boston Celtics,Philadelphia 76ers,,,,,,,,,IGNORE,NONE,False,
0022500084,2025-10-22T00:00:00Z,Chicago Bulls,Detroit Pistons,,,,,,,,,IGNORE,NONE,False,
0022500085,2025-10-22T00:00:00Z,Memphis Grizzlies,New Orleans Pelicans,,,,,,,,,IGNORE,NONE,False,
0022500086,2025-10-22T00:00:00Z,Milwaukee Bucks,Washington Wizards,,,,,,,,,IGNORE,NONE,False,
0022500087,2025-10-22T00:00:00Z,Utah Jazz,LA Clippers,,,,,,,,,IGNORE,NONE,False,
0022500088,2025-10-22T00:00:00Z,Phoenix Suns,Sacramento Kings,,,,,,,,,IGNORE,NONE,False,
0022500089,2025-10-22T00:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0022500090,2025-10-24T00:00:00Z,Orlando Magic,Atlanta Hawks,,,,,,,,,IGNORE,NONE,False,
0022500091,2025-10-24T00:00:00Z,Brooklyn Nets,Cleveland Cavaliers,,,,,,,,,IGNORE,NONE,False,
0022500092,2025-10-24T00:00:00Z,Toronto Raptors,Milwaukee Bucks,,,,,,,,,IGNORE,NONE,False,
