game_id,game_date,season_year,side,team_id,team,abbr,opponent_side,opponent_team_id,opponent,opponent_abbr,points_scored,points_allowed,went_ot,ot_minutes,rest_days,rest_bucket,fatigue_flag,fatigue_score,fatigue_diff_home_minus_away,avg_points_for,avg_points_against,net_rating,last5_points_for,last5_points_against,net_rating_last5,team_3pm,team_3pa,team_3pt_pct,injury_impact,num_out,num_questionable
0012500049,2025-10-12T00:00:00Z,2025,home,1610612753,Orlando Magic,ORL,away,1610612748,Miami Heat,MIA,120,104,False,0,1,1_day,True,0.4,0.4,,,,,,,13,40,0.325,0.0,0,0
0012500049,2025-10-12T00:00:00Z,2025,away,1610612748,Miami Heat,MIA,home,1610612753,Orlando Magic,ORL,104,120,False,0,3,3_plus_days,False,0.0,0.4,,,,,,,9,33,0.2727,0.0,0,0
0012500050,2025-10-12T00:00:00Z,2025,home,1610612738,Boston Celtics,BOS,away,1610612739,Cleveland Cavaliers,CLE,138,107,False,0,1,1_day,True,0.4,0.25,,,,,,,18,45,0.4,0.0,0,0
0012500050,2025-10-12T00:00:00Z,2025,away,1610612739,Cleveland Cavaliers,CLE,home,1610612738,Boston Celtics,BOS,107,138,False,0,2,2_days,True,0.15,0.25,112.0,119.0,-7.0,,,,12,60,0.2,0.0,0,0
0012500051,2025-10-12T00:00:00Z,2025,home,1610612741,Chicago Bulls,CHI,away,1610612749,Milwaukee Bucks,MIL,121,127,False,0,2,2_days,True,0.15,0.0,119.0,112.0,7.0,,,,11,41,0.2683,0.0,0,0
0012500051,2025-10-12T00:00:00Z,2025,away,1610612749,Milwaukee Bucks,MIL,home,1610612741,Chicago Bulls,CHI,127,121,False,0,2,2_days,True,0.15,0.0,103.0,93.0,10.0,,,,20,48,0.4167,0.0,0,0
0012500052,2025-10-12T00:00:00Z,2025,home,1610612746,LA Clippers,LAC,away,1610612743,Denver Nuggets,DEN,94,102,False,0,1852,3_plus_days,False,0.0,0.0,,,,,,,9,37,0.2432,0.0,0,0
0012500052,2025-10-12T00:00:00Z,2025,away,1610612743,Denver Nuggets,DEN,home,1610612746,LA Clippers,LAC,102,94,False,0,5,3_plus_days,False,0.0,0.0,112.0,108.0,4.0,,,,15,42,0.3571,0.0,0,0
0012500019,2025-10-13T00:00:00Z,2025,home,1610612737,Atlanta Hawks,ATL,away,1610612748,Miami Heat,MIA,119,118,True,5,1,1_day,True,0.75,-1.2,,,,,,,12,48,0.25,0.0,0,0
0012500019,2025-10-13T00:00:00Z,2025,away,1610612748,Miami Heat,MIA,home,1610612737,Atlanta Hawks,ATL,118,119,True,5,0,b2b,True,1.95,-1.2,104.0,120.0,-16.0,,,,5,34,0.1471,0.0,0,0
0012500053,2025-10-13T00:00:00Z,2025,home,1610612754,Indiana Pacers,IND,away,1610612759,San Antonio Spurs,SAS,108,124,False,0,1,1_day,True,0.4,0.25,116.0,101.0,15.0,,,,19,41,0.4634,0.0,0,0
0012500053,2025-10-13T00:00:00Z,2025,away,1610612759,San Antonio Spurs,SAS,home,1610612754,Indiana Pacers,IND,124,108,False,0,2,2_days,True,0.15,0.25,112.0,107.0,5.0,,,,15,37,0.4054,0.0,0,0
0012500054,2025-10-13T00:00:00Z,2025,home,1610612752,New York Knicks,NYK,away,1610612764,Washington Wizards,WAS,103,120,False,0,3,3_plus_days,False,0.0,-1.6,99.5,89.5,10.0,,,,13,42,0.3095,0.0,0,0
0012500054,2025-10-13T00:00:00Z,2025,away,1610612764,Washington Wizards,WAS,home,1610612752,New York Knicks,NYK,120,103,False,0,0,b2b,True,1.6,-1.6,,,,,,,14,36,0.3889,0.0,0,0
0012500056,2025-10-13T00:00:00Z,2025,home,1610612762,Utah Jazz,UTA,away,1610612742,Dallas Mavericks,DAL,101,114,False,0,2,2_days,True,0.15,-0.25,,,,,,,11,37,0.2973,0.0,0,0
0012500056,2025-10-13T00:00:00Z,2025,away,1610612742,Dallas Mavericks,DAL,home,1610612762,Utah Jazz,UTA,114,101,False,0,1,1_day,True,0.4,-0.25,,,,,,,15,53,0.283,0.0,0,0
0012500020,2025-10-14T00:00:00Z,2025,home,1610612740,New Orleans Pelicans,NOP,away,1610612745,Houston Rockets,HOU,128,130,False,0,1887,3_plus_days,False,0.0,0.0,,,,,,,9,38,0.2368,0.0,0,0
0012500020,2025-10-14T00:00:00Z,2025,away,1610612745,Houston Rockets,HOU,home,1610612740,New Orleans Pelicans,NOP,130,128,False,0,5,3_plus_days,False,0.0,0.0,,,,,,,11,36,0.3056,0.0,0,0
