game_id,away_team,home_team,away_score,home_score,margin_home_minus_away,actual_total,vegas_spread_home,vegas_total,model,projected_margin,spread_edge,projected_total,total_edge,model_spread_pick,model_total_pick,model_spread_result,model_total_result,model_parlay_result,authority_spread_pick,authority_total_pick,authority_spread_result,authority_total_result,confidence_tier,arbitration_cluster,selection_authority,is_authority
0022500691,Memphis Grizzlies,New Orleans Pelicans,106,114,8,220,-3.0,231.5,InjuryModel_v2,0.07246376811593791,3.072463768115938,236.49597423510465,4.995974235104654,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500691,Memphis Grizzlies,New Orleans Pelicans,106,114,8,220,-3.0,231.5,Joel_Baseline_v1,0.07246376811593791,3.072463768115938,236.49597423510465,4.995974235104654,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,True
0022500691,Memphis Grizzlies,New Orleans Pelicans,106,114,8,220,-3.0,231.5,MonkeyDarts_v2,2.7676677359367936,5.767667735936794,238.76181226828695,7.2618122682869455,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500692,Chicago Bulls,Miami Heat,125,118,-7,243,-6.5,233.5,FatiguePlus_v3,-2.6342592592592666,3.8657407407407334,239.73296296296297,6.232962962962972,AWAY,OVER,WIN,WIN,WIN,AWAY,OVER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500692,Chicago Bulls,Miami Heat,125,118,-7,243,-6.5,233.5,InjuryModel_v2,-2.6342592592592666,3.8657407407407334,240.21296296296296,6.712962962962962,AWAY,OVER,WIN,WIN,WIN,AWAY,OVER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500692,Chicago Bulls,Miami Heat,125,118,-7,243,-6.5,233.5,Joel_Baseline_v1,-2.6342592592592666,3.8657407407407334,240.21296296296296,6.712962962962962,AWAY,OVER,WIN,WIN,WIN,AWAY,OVER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,True
0022500692,Chicago Bulls,Miami Heat,125,118,-7,243,-6.5,233.5,MonkeyDarts_v2,-8.245588680477493,-1.7455886804774927,237.1058398416294,3.605839841629404,HOME,OVER,LOSS,WIN,LOSS,AWAY,OVER,WIN,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500693,Cleveland Cavaliers,Phoenix Suns,113,126,13,239,2.0,224.0,FatiguePlus_v3,-0.8519927536231875,-2.8519927536231875,227.13213768115943,3.132137681159435,HOME,OVER,WIN,WIN,WIN,HOME,OVER,WIN,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500693,Cleveland Cavaliers,Phoenix Suns,113,126,13,239,2.0,224.0,InjuryModel_v2,-2.9519927536231876,-4.951992753623188,229.41213768115944,5.412137681159436,HOME,OVER,WIN,WIN,WIN,HOME,OVER,WIN,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500693,Cleveland Cavaliers,Phoenix Suns,113,126,13,239,2.0,224.0,Joel_Baseline_v1,-2.9519927536231876,-4.951992753623188,229.41213768115944,5.412137681159436,HOME,OVER,WIN,WIN,WIN,HOME,OVER,WIN,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,True
